Analysis Neighborhood,Incident Category,Incident Number
Western Addition,Other,47
Oceanview/Merced/Ingleside,Fire Report,2
Visitacion Valley,Missing Person,81
North Beach,Suspicious Occ,81
Portola,Other Offenses,15
Pacific Heights,Assault,78
Haight Ashbury,Family Offense,2
Twin Peaks,Other Offenses,7
Presidio Heights,Traffic Violation Arrest,9
Lincoln Park,Lost Property,1
Outer Richmond,Non-Criminal,255
Inner Richmond,Forgery And Counterfeiting,5
Oceanview/Merced/Ingleside,Fraud,81
Excelsior,Disorderly Conduct,76
Visitacion Valley,Robbery,84
Pacific Heights,Malicious Mischief,235
Glen Park,Burglary,58
Bernal Heights,Traffic Violation Arrest,62
West of Twin Peaks,Other,22
Western Addition,Courtesy Report,28
Golden Gate Park,Sex Offense,2
Lincoln Park,Assault,1
Pacific Heights,Lost Property,77
null,Case Closure,1
Mission Bay,Embezzlement,6
South of Market,Weapons Offense,87
Inner Sunset,Civil Sidewalks,1
Seacliff,Forgery And Counterfeiting,1
Haight Ashbury,Traffic Collision,5
South of Market,Suspicious,10
Lone Mountain/USF,Civil Sidewalks,1
Chinatown,Other Offenses,14
Golden Gate Park,Warrant,37
Treasure Island,Other Offenses,3
Mission Bay,Robbery,50
Bayview Hunters Point,Courtesy Report,47
South of Market,Fraud,322
West of Twin Peaks,Other Offenses,36
Nob Hill,Vehicle Misplaced,4
Castro/Upper Market,Non-Criminal,355
Sunset/Parkside,Motor Vehicle Theft,299
Hayes Valley,Malicious Mischief,383
Mission Bay,Drug Violation,2
Presidio,Courtesy Report,1
Presidio Heights,Recovered Vehicle,25
Nob Hill,Fire Report,3
Portola,Courtesy Report,6
Excelsior,Vehicle Impounded,18
Treasure Island,Other,4
Chinatown,Other,41
Mission Bay,Homicide,1
Visitacion Valley,Drug Violation,1
Golden Gate Park,Case Closure,24
Sunset/Parkside,Suicide,6
Oceanview/Merced/Ingleside,Weapons Offense,16
Glen Park,Weapons Carrying Etc,5
Tenderloin,Traffic Violation Arrest,261
null,Warrant,2
Hayes Valley,Lost Property,127
Marina,Family Offense,2
Glen Park,Suspicious Occ,34
Japantown,Other Miscellaneous,86
Potrero Hill,Courtesy Report,4
Haight Ashbury,Weapons Offense,8
South of Market,Traffic Collision,31
Western Addition,Non-Criminal,417
Russian Hill,Case Closure,11
Japantown,Other,3
Inner Richmond,Arson,2
North Beach,Drug Violation,1
Glen Park,Missing Person,12
Marina,Fire Report,2
Noe Valley,Miscellaneous Investigation,19
Noe Valley,,4
Marina,Vehicle Misplaced,2
Nob Hill,Family Offense,1
Outer Richmond,Courtesy Report,8
Chinatown,Other Miscellaneous,263
Financial District/South Beach,Civil Sidewalks,4
Treasure Island,Other Miscellaneous,30
Lakeshore,Assault,96
Russian Hill,Sex Offense,4
Mission,Prostitution,192
Russian Hill,Warrant,82
Oceanview/Merced/Ingleside,Traffic Collision,6
West of Twin Peaks,Other Miscellaneous,243
Potrero Hill,Non-Criminal,136
Mission,Malicious Mischief,1135
Noe Valley,Assault,42
Sunset/Parkside,Recovered Vehicle,125
Presidio,Non-Criminal,26
McLaren Park,Arson,1
Mission,Lost Property,567
Presidio Heights,Motor Vehicle Theft,68
Castro/Upper Market,Courtesy Report,7
Bayview Hunters Point,Non-Criminal,607
Japantown,Other Offenses,14
Haight Ashbury,Fraud,79
Excelsior,Stolen Property,13
Lakeshore,Miscellaneous Investigation,25
Twin Peaks,Non-Criminal,75
North Beach,Robbery,107
North Beach,Embezzlement,6
Portola,Non-Criminal,98
Golden Gate Park,Vehicle Impounded,8
Marina,Weapons Offense,12
null,Disorderly Conduct,1
Outer Richmond,Other Offenses,33
Noe Valley,Lost Property,32
Visitacion Valley,Weapons Carrying Etc,28
Bernal Heights,Suicide,1
Haight Ashbury,Fire Report,9
Financial District/South Beach,Motor Vehicle Theft?,2
Inner Richmond,Larceny Theft,802
Western Addition,Other Miscellaneous,469
McLaren Park,Offences Against The Family And Children,1
North Beach,Missing Person,41
Oceanview/Merced/Ingleside,Family Offense,3
Visitacion Valley,Suspicious Occ,42
Haight Ashbury,Vehicle Misplaced,4
Seacliff,Larceny Theft,59
Castro/Upper Market,Other,31
Mission Bay,Weapons Carrying Etc,17
Bernal Heights,Motor Vehicle Theft,216
Treasure Island,Non-Criminal,57
Chinatown,Non-Criminal,303
Excelsior,Case Closure,9
Mission Bay,Suspicious Occ,70
Noe Valley,Malicious Mischief,151
Mission,Assault,1577
Lakeshore,Prostitution,2
Visitacion Valley,Burglary,77
Tenderloin,Suicide,4
Castro/Upper Market,Other Offenses,52
South of Market,Family Offense,15
Golden Gate Park,Disorderly Conduct,11
Russian Hill,Stolen Property,32
West of Twin Peaks,Non-Criminal,257
Seacliff,Offences Against The Family And Children,4
Japantown,Courtesy Report,2
Potrero Hill,Other Miscellaneous,163
Sunset/Parkside,Traffic Violation Arrest,48
Lakeshore,Malicious Mischief,150
Portola,Other Miscellaneous,118
Outer Richmond,Other,23
Tenderloin,Motor Vehicle Theft,373
Lakeshore,Lost Property,71
Mission Bay,Burglary,155
Twin Peaks,Other Miscellaneous,40
Excelsior,Warrant,61
Nob Hill,Traffic Collision,9
Bayview Hunters Point,Other Miscellaneous,858
Marina,Fraud,172
McLaren Park,Larceny Theft,48
Inner Richmond,Offences Against The Family And Children,44
Glen Park,Embezzlement,1
Glen Park,Robbery,9
Financial District/South Beach,Drug Offense,138
Excelsior,Sex Offense,1
Presidio,Other Miscellaneous,17
Mission,Miscellaneous Investigation,212
Mission,,27
Bayview Hunters Point,Prostitution,1
Portola,Malicious Mischief,137
Twin Peaks,Malicious Mischief,60
Mission Bay,Arson,9
Hayes Valley,Courtesy Report,1
Portola,Prostitution,1
West of Twin Peaks,Miscellaneous Investigation,40
Financial District/South Beach,Fire Report,11
Bayview Hunters Point,Malicious Mischief,818
Potrero Hill,Lost Property,67
Financial District/South Beach,Vehicle Misplaced,5
Presidio,Malicious Mischief,18
Mission,Non-Criminal,1205
Bayview Hunters Point,Lost Property,168
Presidio Heights,Disorderly Conduct,14
Marina,Civil Sidewalks,10
Potrero Hill,Malicious Mischief,216
Chinatown,Assault,197
Treasure Island,Assault,48
Presidio,Lost Property,9
Lakeshore,Other Miscellaneous,119
Visitacion Valley,Arson,8
Portola,Lost Property,40
South of Market,Liquor Laws,2
Lincoln Park,Other Offenses,1
Twin Peaks,Lost Property,11
Potrero Hill,Prostitution,1
Pacific Heights,Courtesy Report,5
Western Addition,Lost Property,153
West of Twin Peaks,Assault,141
North Beach,Forgery And Counterfeiting,15
Noe Valley,Other Miscellaneous,86
Lincoln Park,Other,1
Outer Mission,Family Offense,3
Presidio Heights,Vehicle Impounded,4
Sunset/Parkside,Stolen Property,20
Chinatown,,3
Western Addition,Prostitution,1
Treasure Island,Miscellaneous Investigation,10
Chinatown,Miscellaneous Investigation,42
Russian Hill,Traffic Violation Arrest,40
Haight Ashbury,Drug Offense,129
Western Addition,Malicious Mischief,373
Excelsior,Recovered Vehicle,60
Mission Bay,Larceny Theft,675
Financial District/South Beach,Weapons Offense,80
West of Twin Peaks,Lost Property,81
Golden Gate Park,Motor Vehicle Theft,68
Potrero Hill,Miscellaneous Investigation,21
Financial District/South Beach,Suspicious,1
Pacific Heights,Other,22
Seacliff,Weapons Carrying Etc,1
McLaren Park,Burglary,4
